student_id,assignment_score,midterm_score,final_score,attendance_percent,total_score,exam_denied,pass_fail
130,53.9,23.8,24.2,100.0,32.99,False,Fail
131,60.3,84.2,45.9,55.6,61.71,False,Pass
132,48.5,98.2,57.3,63.4,66.93,False,Pass
133,72.6,53.9,49.7,82.9,57.83,False,Pass
134,62.3,30.9,86.9,79.7,62.72,False,Pass
135,47.4,55.3,59.0,85.7,54.41,False,Pass
136,52.8,55.7,85.2,100.0,66.63,False,Pass
137,68.8,57.2,63.1,44.7,63.04,False,Pass
138,75.1,43.3,62.7,99.5,60.6,False,Pass
139,89.0,68.7,60.4,80.2,71.47,False,Pass
140,100.0,67.9,62.1,75.9,75.21,False,Pass
141,70.0,37.6,92.9,50.6,69.44,False,Pass
142,53.1,70.5,20.2,90.1,45.16,False,Fail
143,39.4,90.8,26.0,31.7,49.46,False,Fail
144,68.2,62.6,52.2,93.0,60.12,False,Pass
145,55.2,54.9,62.3,50.2,57.95,False,Pass
146,60.0,57.9,74.4,81.1,65.13,False,Pass
147,57.7,69.2,70.5,77.6,66.27,False,Pass
148,63.3,34.0,55.1,100.0,51.23,False,Pass
149,77.8,62.5,80.3,76.4,74.21,False,Pass
150,66.9,54.1,80.5,66.1,68.5,False,Pass
151,63.1,87.7,65.3,69.9,71.36,False,Pass
152,52.6,57.4,79.3,100.0,64.72,False,Pass
153,44.9,85.0,66.9,90.7,65.73,False,Pass
154,59.2,43.4,51.9,72.3,51.54,False,Pass
155,64.4,68.8,74.6,75.3,69.8,False,Pass
156,86.2,64.8,64.0,48.7,70.9,False,Pass
157,66.6,47.0,62.0,87.8,58.88,False,Pass
158,76.8,62.7,88.5,44.8,77.25,False,Pass
159,59.0,78.2,17.9,95.0,48.32,False,Fail
160,50.8,55.1,36.5,82.6,46.37,False,Fail
161,53.4,34.6,40.6,100.0,42.64,False,Fail
162,56.3,59.7,55.5,58.0,57.0,False,Pass
163,90.5,46.5,57.4,77.9,64.06,False,Pass
164,55.1,54.9,34.9,100.0,46.96,False,Fail
165,75.1,58.8,44.3,100.0,57.89,False,Pass
166,54.2,34.4,46.5,66.1,45.18,False,Fail
167,76.2,35.8,100.0,84.5,73.6,False,Pass
168,69.6,67.2,94.4,80.0,78.8,False,Pass
169,63.1,52.2,54.6,85.6,56.43,False,Pass
170,64.5,21.5,55.5,66.0,48.0,False,Fail
171,57.1,71.8,41.3,78.2,55.19,False,Pass
172,70.4,64.1,27.7,48.0,51.43,False,Pass
173,59.5,49.3,59.9,82.7,56.6,False,Pass
174,50.3,40.2,44.0,89.0,44.75,False,Fail
175,49.7,72.5,60.5,75.5,60.86,False,Pass
176,67.1,65.2,33.2,47.7,52.97,False,Pass
177,83.9,95.7,48.3,99.8,73.2,False,Pass
178,66.9,66.3,64.7,87.3,65.84,False,Pass
179,63.6,65.8,68.6,65.5,66.26,False,Pass
180,68.4,57.5,69.5,74.4,65.57,False,Pass
181,80.7,72.3,38.2,50.0,61.18,False,Pass
182,67.6,69.4,77.4,59.5,72.06,False,Pass
183,60.1,78.8,47.6,69.2,60.71,False,Pass
184,78.3,52.2,73.4,100.0,68.51,False,Pass
185,70.1,53.5,61.8,67.2,61.8,False,Pass
186,83.4,52.8,37.2,92.8,55.74,False,Pass
187,67.2,71.9,56.3,69.2,64.25,False,Pass
188,50.3,82.5,68.6,85.0,67.28,False,Pass
189,48.6,53.1,73.0,77.2,59.71,False,Pass
190,84.8,53.6,59.5,97.5,65.32,False,Pass
191,85.7,64.7,89.6,69.3,80.96,False,Pass
192,62.8,56.3,80.1,48.5,67.77,False,Pass
193,60.4,74.3,57.4,52.4,63.37,False,Pass
194,82.5,26.2,75.5,69.4,62.81,False,Pass
195,51.7,47.6,96.8,55.0,68.51,False,Pass
196,54.3,48.3,97.3,88.2,69.7,False,Pass
197,72.7,25.2,39.9,70.7,45.33,False,Fail
198,60.3,45.5,45.3,100.0,49.86,False,Fail
199,64.9,46.3,88.7,45.2,68.84,False,Pass
200,63.0,57.0,43.0,84.1,53.2,False,Pass
201,69.1,76.7,38.2,57.4,59.02,False,Pass
202,81.9,56.3,53.2,70.1,62.74,False,Pass
203,66.1,44.5,69.6,82.8,61.02,False,Pass
204,72.7,59.1,60.2,33.5,63.62,False,Pass
205,40.4,75.7,50.3,84.7,54.95,False,Pass
206,64.4,45.4,49.9,100.0,52.9,False,Pass
207,54.9,46.3,49.2,70.9,50.04,False,Pass
208,50.4,68.4,46.2,85.2,54.12,False,Pass
209,54.5,56.7,100.0,100.0,73.36,False,Pass
210,61.0,69.7,67.4,76.7,66.17,False,Pass
211,76.0,59.8,78.0,68.4,71.94,False,Pass
212,49.1,70.5,53.2,34.5,57.16,False,Pass
213,65.4,44.5,58.7,92.8,56.45,False,Pass
214,59.2,59.8,49.2,77.7,55.38,False,Pass
215,61.1,56.8,14.3,59.7,41.09,False,Fail
216,77.0,41.8,37.2,82.5,50.52,False,Pass
217,71.5,36.5,29.4,68.3,44.16,False,Fail
218,81.0,70.3,21.5,69.4,53.99,False,Pass
219,63.1,54.7,40.5,92.1,51.54,False,Pass
220,56.6,44.7,85.8,53.2,64.71,False,Pass
221,62.3,58.6,61.2,100.0,60.75,False,Pass
222,67.9,76.9,85.2,52.0,77.52,False,Pass
223,67.1,25.8,69.4,66.7,55.63,False,Pass
224,52.0,37.6,76.1,100.0,57.32,False,Pass
225,66.1,46.2,45.8,100.0,52.01,False,Pass
226,67.7,81.9,71.4,82.0,73.44,False,Pass
227,95.2,64.2,75.1,61.2,77.86,False,Pass
228,87.5,71.5,51.6,69.4,68.34,False,Pass
229,54.8,42.9,72.1,81.5,58.15,False,Pass
230,61.6,43.2,72.2,80.8,60.32,False,Pass
231,47.4,66.7,52.1,78.2,55.07,False,Pass
232,57.9,60.9,41.8,79.4,52.36,False,Pass
233,68.8,68.2,40.7,75.7,57.38,False,Pass
234,79.5,57.2,63.6,51.2,66.45,False,Pass
235,56.3,64.2,67.9,69.7,63.31,False,Pass
236,57.2,62.4,47.7,98.3,54.96,False,Pass
237,39.2,71.7,62.5,52.6,58.27,False,Pass
238,63.0,72.1,72.3,76.2,69.45,False,Pass
239,52.3,35.7,73.1,63.6,55.64,False,Pass
240,58.6,26.3,89.9,82.2,61.43,False,Pass
241,54.5,75.0,85.0,72.2,72.85,False,Pass
242,63.9,77.8,44.0,100.0,60.11,False,Pass
243,43.9,44.7,92.3,90.1,63.5,False,Pass
244,47.4,32.1,52.4,53.8,44.81,False,Fail
245,90.6,61.5,80.8,93.4,77.95,False,Pass
246,49.6,74.0,63.2,64.5,62.36,False,Pass
247,51.8,87.0,54.6,68.5,63.48,False,Pass
248,87.0,67.7,29.5,86.3,58.21,False,Pass
249,99.9,54.4,58.9,70.2,69.85,False,Pass
250,50.9,46.6,33.9,97.9,42.81,False,Fail
251,60.6,60.2,79.4,64.5,68.0,False,Pass
252,69.1,55.5,89.3,67.6,73.1,False,Pass
253,85.7,44.8,47.7,66.9,58.23,False,Pass
254,53.2,90.7,67.4,68.7,70.13,False,Pass
255,62.1,86.8,48.9,100.0,64.23,False,Pass
256,74.3,77.0,50.7,92.6,65.67,False,Pass
257,70.2,46.2,75.9,100.0,65.28,False,Pass
258,60.5,72.8,61.3,100.0,64.51,False,Pass
259,63.4,69.6,93.3,59.4,77.22,False,Pass
260,48.5,66.6,53.3,81.4,55.85,False,Pass
261,62.1,78.7,80.0,56.5,74.24,False,Pass
262,61.8,69.5,63.8,64.4,64.91,False,Pass
263,67.8,71.1,76.3,67.4,72.19,False,Pass
264,58.3,69.6,54.0,58.9,59.97,False,Pass
265,70.7,65.1,61.1,59.0,65.18,False,Pass
266,77.2,33.2,59.9,77.1,57.08,False,Pass
267,66.9,61.3,47.0,55.7,57.26,False,Pass
268,69.2,51.7,73.9,96.8,65.83,False,Pass
269,65.6,40.8,73.7,61.6,61.4,False,Pass
270,65.0,85.2,72.7,100.0,74.14,False,Pass
271,56.3,85.9,89.7,71.0,78.54,False,Pass
272,68.8,80.4,88.1,81.4,80.0,False,Pass
273,63.8,63.8,55.3,54.1,60.4,False,Pass
274,90.1,80.3,68.7,100.0,78.6,False,Pass
275,83.9,60.2,50.8,100.0,63.55,False,Pass
276,69.6,63.0,62.4,85.9,64.74,False,Pass
277,55.8,43.6,51.2,53.1,50.3,False,Pass
278,51.7,66.0,91.2,84.2,71.79,False,Pass
279,79.3,60.9,68.5,57.6,69.46,False,Pass
280,68.2,40.5,58.1,100.0,55.85,False,Pass
281,70.8,59.2,83.5,96.2,72.4,False,Pass
282,44.1,58.8,22.9,81.9,40.03,False,Fail
283,76.1,87.0,25.7,31.3,59.21,False,Pass
284,70.5,73.4,76.3,60.3,73.69,False,Pass
285,51.7,60.2,63.1,93.8,58.81,False,Pass
286,59.3,63.7,66.5,100.0,63.5,False,Pass
287,68.2,60.7,38.1,100.0,53.91,False,Pass
288,65.6,57.0,61.6,48.2,61.42,False,Pass
289,61.5,43.8,98.1,86.0,70.83,False,Pass
290,63.8,57.7,76.8,100.0,67.17,False,Pass
291,62.0,48.8,65.1,46.8,59.28,False,Pass
292,66.8,41.2,54.1,79.8,54.04,False,Pass
293,82.7,67.7,54.9,85.5,67.08,False,Pass
294,34.2,65.9,23.7,74.0,39.51,False,Fail
295,62.2,33.2,66.6,43.0,55.26,False,Pass
296,67.1,58.2,77.2,73.5,68.47,False,Pass
297,68.6,74.9,33.6,73.5,56.49,False,Pass
298,60.5,75.9,50.1,77.0,60.96,False,Pass
299,43.9,75.4,41.2,68.7,52.27,False,Pass
300,68.9,60.6,44.6,71.1,56.69,False,Pass
301,85.7,47.3,63.0,79.2,65.1,False,Pass
302,46.6,43.7,24.5,88.8,36.89,False,Fail
303,75.4,65.2,73.1,73.9,71.42,False,Pass
304,61.1,65.7,75.6,71.8,68.28,False,Pass
305,64.3,79.3,57.5,81.8,66.08,False,Pass
306,52.4,76.5,17.3,41.6,45.59,False,Fail
307,61.0,58.0,44.1,89.5,53.34,False,Pass
308,80.6,41.3,84.2,80.0,70.25,False,Pass
309,72.0,55.2,12.0,80.8,42.96,False,Fail
310,85.8,63.3,55.7,99.2,67.01,False,Pass
311,79.1,57.0,40.8,40.9,57.15,False,Pass
312,70.3,51.3,76.5,40.5,67.08,False,Pass
313,85.9,63.8,49.8,85.5,64.83,False,Pass
314,70.3,52.4,69.3,79.9,64.53,False,Pass
315,74.9,50.6,72.2,83.4,66.53,False,Pass
316,61.4,64.7,95.1,70.8,75.87,False,Pass
317,65.8,54.0,58.3,93.3,59.26,False,Pass
318,56.6,63.7,68.8,98.7,63.61,False,Pass
319,76.9,64.1,35.3,89.7,56.42,False,Pass
320,50.9,42.9,83.4,74.8,61.5,False,Pass
321,74.4,52.8,48.3,37.8,57.48,False,Pass
322,62.7,81.6,51.9,95.4,64.05,False,Pass
323,79.1,42.6,61.6,100.0,61.15,False,Pass
324,74.0,28.3,33.9,92.9,44.25,False,Fail
325,86.8,32.1,66.1,62.4,62.11,False,Pass
326,73.8,60.4,79.4,93.5,72.02,False,Pass
327,46.1,60.5,67.3,97.2,58.9,False,Pass
328,64.2,58.2,33.4,100.0,50.08,False,Pass
329,50.9,78.2,59.8,62.5,62.65,False,Pass
330,58.8,19.9,75.4,75.5,53.77,False,Pass
331,83.1,65.9,28.2,94.9,55.98,False,Pass
332,72.7,83.4,42.7,81.1,63.91,False,Pass
333,56.6,43.1,77.8,57.7,61.03,False,Pass
334,52.8,54.3,66.9,88.3,58.89,False,Pass
335,65.4,48.7,69.4,91.6,61.99,False,Pass
336,50.4,46.6,95.5,81.8,67.3,False,Pass
337,56.9,55.1,70.4,84.4,61.76,False,Pass
338,68.7,81.4,73.8,74.8,74.55,False,Pass
339,78.9,87.6,100.0,100.0,89.95,False,Pass
340,72.3,55.0,58.2,62.0,61.47,False,Pass
341,37.5,88.6,47.6,68.3,56.87,False,Pass
342,68.7,60.5,69.7,80.2,66.64,False,Pass
343,65.9,86.3,69.9,97.6,73.62,False,Pass
344,70.0,58.6,52.5,50.1,59.58,False,Pass
345,84.4,62.0,43.4,53.8,61.28,False,Pass
346,40.2,65.5,100.0,39.2,71.71,False,Pass
347,57.9,100.0,67.9,80.7,74.53,False,Pass
348,72.1,72.8,48.8,57.6,62.99,False,Pass
349,46.0,49.4,78.5,72.3,60.02,False,Pass
350,82.7,74.5,60.0,93.2,71.16,False,Pass
351,69.4,54.6,57.4,67.2,60.16,False,Pass
352,75.2,52.7,72.1,84.6,67.21,False,Pass
353,58.1,73.6,38.7,74.0,54.99,False,Pass
354,74.8,60.5,68.3,93.4,67.91,False,Pass
355,77.8,64.2,96.4,89.5,81.16,False,Pass
356,67.8,60.2,70.4,66.2,66.56,False,Pass
357,67.8,65.0,55.2,76.6,61.92,False,Pass
358,68.2,66.4,52.9,100.0,61.54,False,Pass
359,54.6,30.9,54.6,87.9,47.49,False,Fail
360,63.2,70.0,57.4,52.1,62.92,False,Pass
361,63.2,45.3,55.2,93.1,54.63,False,Pass
362,69.6,38.4,78.5,58.3,63.8,False,Pass
363,77.0,59.1,30.8,100.0,53.15,False,Pass
364,52.3,61.3,77.5,100.0,65.08,False,Pass
365,63.5,49.6,55.2,85.8,56.01,False,Pass
366,82.8,72.5,68.8,83.1,74.11,False,Pass
367,56.1,39.9,41.7,75.8,45.48,False,Fail
368,55.1,53.9,85.9,93.6,67.06,False,Pass
369,67.4,51.2,84.4,72.6,69.34,False,Pass
370,75.1,59.3,79.3,84.7,72.04,False,Pass
371,65.1,64.2,34.7,97.4,52.67,False,Pass
372,80.9,44.9,76.9,68.8,68.5,False,Pass
373,75.3,70.9,69.3,67.7,71.58,False,Pass
374,75.1,60.9,33.1,56.1,54.04,False,Pass
375,71.6,31.6,61.6,58.7,55.6,False,Pass
376,92.9,30.6,68.6,43.4,64.49,False,Pass
377,62.5,59.8,72.0,94.6,65.49,False,Pass
378,41.0,56.7,65.2,100.0,55.39,False,Pass
379,84.3,58.4,67.2,100.0,69.69,False,Pass
380,59.5,59.6,88.5,47.5,71.13,False,Pass
381,66.3,63.4,84.1,94.5,72.55,False,Pass
382,80.7,74.2,10.4,100.0,50.63,False,Pass
383,45.8,43.3,56.3,70.9,49.25,False,Fail
384,50.0,42.4,59.0,82.0,51.32,False,Pass
385,45.8,43.6,30.5,39.8,39.02,False,Fail
386,55.5,64.3,63.7,85.3,61.42,False,Pass
387,70.3,78.7,84.5,58.7,78.5,False,Pass
388,71.3,53.5,42.4,84.0,54.4,False,Pass
389,68.3,22.5,68.1,48.8,54.48,False,Pass
390,48.0,34.4,45.5,90.9,42.92,False,Fail
391,37.3,47.5,49.9,100.0,45.4,False,Fail
392,65.7,51.6,88.6,64.3,70.63,False,Pass
393,59.3,53.9,52.2,57.3,54.84,False,Pass
394,70.5,60.6,70.3,36.9,67.45,False,Pass
395,73.4,55.3,28.3,74.7,49.93,False,Fail
396,66.7,75.7,95.5,68.4,80.92,False,Pass
397,74.1,49.9,72.8,49.0,66.32,False,Pass
398,67.8,47.1,58.7,89.1,57.95,False,Pass
399,71.4,67.2,72.4,71.0,70.54,False,Pass
400,56.5,37.0,36.6,58.5,42.69,False,Fail
401,62.8,65.8,83.3,68.9,71.9,False,Pass
402,67.4,61.5,56.2,100.0,61.15,False,Pass
403,74.8,57.8,58.3,92.1,63.1,False,Pass
404,60.3,83.8,53.2,77.4,64.51,False,Pass
405,71.3,50.7,51.5,92.4,57.2,False,Pass
406,61.8,90.9,74.5,56.8,75.61,False,Pass
407,63.6,56.6,66.6,80.6,62.7,False,Pass
408,75.0,40.8,73.7,82.9,64.22,False,Pass
409,41.1,61.0,61.8,70.6,55.35,False,Pass
410,49.4,43.9,71.2,88.7,56.47,False,Pass
411,47.2,48.7,54.5,64.4,50.57,False,Pass
412,37.0,66.0,100.0,90.2,70.9,False,Pass
413,56.9,68.3,33.8,91.0,51.08,False,Pass
414,74.0,50.7,84.7,21.7,71.29,True,Fail
415,61.6,74.8,86.6,100.0,75.56,False,Pass
416,67.4,77.4,46.7,19.0,62.12,True,Fail
417,78.1,81.5,100.0,67.7,87.88,False,Pass
418,80.9,67.9,79.9,100.0,76.6,False,Pass
419,64.2,80.5,79.5,73.7,75.21,False,Pass
420,81.2,31.8,62.5,50.7,58.9,False,Pass
421,66.1,55.2,58.1,58.1,59.63,False,Pass
422,55.0,47.0,58.2,100.0,53.88,False,Pass
423,57.9,61.8,69.0,41.6,63.51,False,Pass
424,47.2,51.4,87.2,100.0,64.46,False,Pass
425,54.3,57.5,65.3,78.9,59.66,False,Pass
426,60.7,88.2,45.6,56.2,62.91,False,Pass
427,74.6,57.5,76.8,68.3,70.35,False,Pass
428,85.6,66.2,78.6,59.7,76.98,False,Pass
429,48.4,56.5,73.8,97.3,60.99,False,Pass
430,69.7,61.1,75.4,94.6,69.4,False,Pass
431,52.5,60.1,57.1,45.6,56.62,False,Pass
432,70.7,66.7,45.3,71.9,59.34,False,Pass
433,63.4,77.5,46.4,62.7,60.83,False,Pass
434,43.0,84.7,32.6,100.0,51.35,False,Pass
435,76.1,64.6,66.3,53.0,68.73,False,Pass
436,57.7,68.8,60.5,100.0,62.15,False,Pass
437,58.6,42.7,54.1,79.3,52.03,False,Pass
438,52.2,58.7,8.8,56.8,36.79,False,Fail
439,57.1,74.1,39.5,66.5,55.16,False,Pass
440,70.1,73.0,82.2,64.0,75.81,False,Pass
441,62.7,63.2,50.0,54.5,57.77,False,Pass
442,68.9,73.3,68.5,81.9,70.06,False,Pass
443,69.3,67.4,37.0,55.4,55.81,False,Pass
444,80.8,78.0,87.9,36.4,82.8,False,Pass
445,60.9,64.3,59.4,72.4,61.32,False,Pass
446,47.3,54.7,67.2,43.9,57.48,False,Pass
447,77.8,65.0,100.0,65.0,82.84,False,Pass
448,61.0,16.0,89.3,61.8,58.82,False,Pass
449,78.4,65.7,56.5,62.6,65.83,False,Pass
450,69.6,5.3,51.3,100.0,42.99,False,Fail
451,63.4,34.1,56.1,81.1,51.69,False,Pass
452,69.2,66.8,71.2,84.9,69.28,False,Pass
453,88.4,67.2,60.1,44.5,70.72,False,Pass
454,89.9,42.6,54.9,66.9,61.71,False,Pass
455,65.8,49.3,88.4,84.3,69.89,False,Pass
456,66.9,80.6,59.9,59.5,68.21,False,Pass
457,77.9,52.7,100.0,98.2,79.18,False,Pass
458,54.9,93.6,63.6,55.9,69.99,False,Pass
459,69.0,60.0,94.1,74.3,76.34,False,Pass
460,64.7,66.1,68.4,68.3,66.6,False,Pass
461,68.8,84.3,79.3,83.3,77.65,False,Pass
462,55.0,62.0,49.0,67.2,54.7,False,Pass
463,45.9,45.0,46.6,74.6,45.91,False,Fail
464,40.1,58.4,70.3,75.3,57.67,False,Pass
465,51.6,59.5,79.8,65.3,65.25,False,Pass
466,59.5,39.5,62.7,89.7,54.78,False,Pass
467,61.5,56.2,38.8,84.8,50.83,False,Pass
468,88.2,48.9,37.5,78.2,56.13,False,Pass
469,78.3,73.9,36.3,71.4,60.18,False,Pass
470,53.5,60.5,30.2,95.9,46.28,False,Fail
471,69.2,55.8,64.0,75.3,63.1,False,Pass
472,60.1,58.4,82.3,73.9,68.47,False,Pass
473,61.6,63.3,61.8,82.1,62.19,False,Pass
474,67.2,69.3,21.3,100.0,49.47,False,Fail
475,72.4,45.0,58.6,53.2,58.66,False,Pass
476,60.9,44.4,59.1,95.4,55.23,False,Pass
477,77.8,76.6,99.7,42.1,86.2,False,Pass
478,51.3,53.8,35.8,84.3,45.85,False,Fail
479,65.1,38.7,55.0,100.0,53.14,False,Pass
480,96.2,66.7,92.7,89.8,85.95,False,Pass
481,67.7,67.0,70.1,83.4,68.45,False,Pass
482,82.2,37.0,72.1,68.8,64.6,False,Pass
483,66.1,63.4,64.1,80.6,64.49,False,Pass
484,72.0,71.0,67.9,75.0,70.06,False,Pass
485,64.3,65.6,76.0,64.3,69.37,False,Pass
486,63.0,69.5,47.4,74.2,58.71,False,Pass
487,55.6,38.9,77.8,84.0,59.47,False,Pass
488,70.2,65.0,37.3,64.7,55.48,False,Pass
489,54.8,55.5,67.9,63.9,60.25,False,Pass
490,73.0,52.8,65.2,52.8,63.82,False,Pass
491,78.0,73.1,50.9,87.8,65.69,False,Pass
492,69.4,82.2,61.6,90.9,70.12,False,Pass
493,61.6,86.9,50.8,84.6,64.87,False,Pass
494,70.4,79.7,42.7,99.3,62.11,False,Pass
495,61.3,58.4,55.6,81.8,58.15,False,Pass
496,76.2,65.3,42.1,87.8,59.29,False,Pass
